Provider Number	Hospital Name
030033	PAYSON REGIONAL MEDICAL CENTER
030036	CHANDLER REGIONAL MEDICAL CENTER
030037	ST LUKES MEDICAL CENTER
030038	SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER
030043	SIERRA VISTA REGIONAL HEALTH CENTER
030055	KINGMAN REGIONAL MEDICAL CENTER
030061	BANNER BOSWELL MEDICAL CENTER
030062	SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER
030064	UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE
030065	BANNER DESERT MEDICAL CENTER
030067	LA PAZ REGIONAL HOSPITAL
030068	MT GRAHAM REGIONAL MEDICAL CENTER
030069	HAVASU REGIONAL MEDICAL CENTER
030071	FORT DEFIANCE INDIAN HOSPITAL
030073	TUBA CITY REGIONAL HEALTH CARE CORPORATION
030074	SELLS INDIAN HEALTH SERVICE HOSPITAL
030077	SAN CARLOS INDIAN HOSPITAL
030078	PHOENIX INDIAN MEDICAL CENTER
030083	PARADISE VALLEY HOSPITAL
030084	CHINLE COMPREHENSIVE HEALTH CARE FACILITY
030085	NORTHWEST MEDICAL CENTER
030087	SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER
030088	BANNER BAYWOOD MEDICAL CENTER
030089	BANNER THUNDERBIRD MEDICAL CENTER
030092	JOHN C LINCOLN DEER VALLEY HOSPITAL
030093	BANNER DEL E WEBB MEDICAL CENTER
030094	ARROWHEAD HOSPITAL
030101	WESTERN ARIZONA REGIONAL MEDICAL CTR
030103	MAYO CLINIC HOSPITAL
030105	BANNER HEART HOSPITAL
030107	ARIZONA SPINE AND JOINT HOSPITAL
030108	THE SURGICAL HOSPITAL OF PHOENIX
030110	WEST VALLEY HOSPITAL
030111	UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE
030112	ARIZONA ORTHOPEDIC SURGICAL HOSPITAL
030113	WHITERIVER PHS INDIAN HOSPITAL
030114	ORO VALLEY HOSPITAL
030115	BANNER ESTRELLA MEDICAL CENTER
030117	VALLEY VIEW MEDICAL CENTER
030118	YAVAPAI REGIONAL MEDICAL CENTER-EAST
030119	MERCY GILBERT MEDICAL CENTER
030120	GILBERT HOSPITAL
030121	MOUNTAIN VISTA MEDICAL CENTER, LP
030122	BANNER GATEWAY MEDICAL CENTER
030123	SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL
03012F	PHOENIX VA MEDICAL CENTER
030130	BANNER IRONWOOD MEDICAL CENTER
030131	OASIS HOSPITAL
030132	FLORENCE HOSPITAL AT ANTHEM, LLC
03013F	VA S. ARIZONA HEALTHCARE SYSTEM
03033F	VA NORTHERN ARIZONA HEALTHCARE SYSTEM
031300	WICKENBURG COMMUNITY HOSPITAL
031301	BENSON HOSPITAL
031302	NORTHERN COCHISE COMMUNITY HOSPITAL
031303	SOUTHEAST ARIZONA MEDICAL CENTER
031304	PAGE HOSPITAL
031305	HOPI HEALTH CARE CENTER
031309	SAGE MEMORIAL HOSPITAL
031311	LITTLE COLORADO MEDICAL CENTER
031312	COPPER QUEEN COMMUNITY HOSPITAL
031313	CARONDELET HOLY CROSS HOSPITAL
031314	COBRE VALLEY REGIONAL MEDICAL CENTER
031315	WHITE MOUNTAIN REGIONAL MEDICAL CENTER
033302	PHOENIX CHILDREN'S HOSPITAL
040001	SILOAM SPRINGS REGIONAL HOSPITAL
040002	JOHNSON REGIONAL MEDICAL CENTER
040004	WASHINGTON REGIONAL MED CTR AT NORTH HILLS
040007	ST VINCENT INFIRMARY MEDICAL CENTER
040010	MERCY HOSPITAL NORTHWEST ARKANSAS
040011	CHAMBERS MEMORIAL HOSPITAL
040014	WHITE COUNTY MEDICAL CENTER
040015	MENA REGIONAL HEALTH SYSTEM
040016	UAMS MEDICAL CENTER
040017	NORTH ARKANSAS REGIONAL MEDICAL CENTER
040018	SUMMIT MEDICAL CENTER
040019	FORREST CITY MEDICAL CENTER
040020	ST BERNARDS MEDICAL CENTER
040022	NW ARKANSAS HOSPITALS, LLC
040026	ST JOSEPHS MERCY HEALTH CENTER INC
040027	BAXTER REGIONAL MEDICAL CENTER
040029	CONWAY REGIONAL MEDICAL CENTER
040036	BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
040039	ARKANSAS METHODIST MEDICAL CENTER
040041	ST MARYS REGIONAL MEDICAL CENTER
040042	CRITTENDEN MEMORIAL HOSPITAL
040047	FIVE RIVERS MEDICAL CENTER
040050	OUACHITA COUNTY MEDICAL CENTER
040051	DREW MEMORIAL HOSPITAL
040055	SPARKS REGIONAL MEDICAL CENTER
040062	ST EDWARD MERCY MEDICAL CENTER
040067	MAGNOLIA HOSPITAL
040069	GREAT RIVER MEDICAL CENTER
040071	JEFFERSON REGIONAL MEDICAL CENTER
040072	BAPTIST HEALTH MEDICAL CENTER-STUTTGART
040074	NORTH METRO MEDICAL CENTER
040076	HOT SPRING COUNTY MEDICAL CENTER
040078	NATIONAL PARK MEDICAL CENTER
040080	HARRIS HOSPITAL
040084	SALINE MEMORIAL HOSPITAL
040085	HELENA REGIONAL MEDICAL CENTER
040088	MEDICAL CENTER SOUTH ARKANSAS
04009F	FAYETTEVILLE AR VA MEDICAL CENTER
04010F	VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR
040114	BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
040118	NEA BAPTIST MEMORIAL HOSPITAL
040119	WHITE RIVER MEDICAL CENTER
040132	LEO N LEVI NATIONAL ARTHRITIS HOSPITAL
040134	ARKANSAS HEART HOSPITAL
040137	ST VINCENT MEDICAL CENTER/NORTH
040147	ARKANSAS SURGICAL HOSPITAL
040152	PHYSICIANS' SPECIALTY HOSPITAL
040153	WADLEY REGIONAL MEDICAL CENTER AT HOPE
041300	NORTH LOGAN MERCY HOSPITAL
041302	RIVER VALLEY MEDICAL CENTER
041303	MERCY HOSPITAL TURNER MEMORIAL
041304	EUREKA SPRINGS HOSPITAL, LLC
041305	ST EDWARD HEALTH FACILITIES OF SCOTT COUNTY
041306	COMMUNITY MEDICAL CENTER IZARD COUNTY
041307	CROSSRIDGE COMMUNITY HOSPITAL
041308	MCGEHEE HOSPITAL
041309	LAWRENCE MEMORIAL HOSPITAL
041310	STONE COUNTY MEDICAL CENTER
041311	HOWARD MEMORIAL HOSPITAL
041312	BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS
041313	OZARK HEALTH
041314	DEWITT HOSPITAL & NURSING HOME, INC
041316	SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER
041317	DALLAS COUNTY MEDICAL CENTER
041318	BOONEVILLE COMMUNITY HOSPITAL
041319	DE QUEEN MEDICAL CENTER, INC
041320	LITTLE RIVER MEMORIAL HOSPITAL
041321	BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA
041322	FULTON COUNTY HOSPITAL
041323	ASHLEY COUNTY MEDICAL CENTER
041324	ST VINCENT MORRILTON
041326	DELTA MEMORIAL HOSPITAL
041327	BRADLEY COUNTY MEDICAL CENTER
041328	CHICOT MEMORIAL MEDICAL CENTER
041329	MERCY HOSPITAL BERRYVILLE
041330	PIGGOTT COMMUNITY HOSPITAL
041331	OZARKS COMMUNITY HOSPITAL OF GRAVETTE
043300	ARKANSAS CHILDREN'S HOSPITAL
050002	ST ROSE HOSPITAL
050006	ST JOSEPH HOSPITAL
050007	PENINSULA MEDICAL CENTER
050008	CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP
050009	QUEEN OF THE VALLEY MEDICAL CENTER
050013	ST HELENA HOSPITAL
050014	SUTTER AMADOR HOSPITAL
050016	MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE
050017	MERCY GENERAL HOSPITAL
050018	PACIFIC ALLIANCE MEDICAL CENTER
050022	RIVERSIDE COMMUNITY HOSPITAL
050024	PARADISE VALLEY HOSPITAL
050025	UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
050026	GROSSMONT HOSPITAL
050028	MAD RIVER COMMUNITY HOSPITAL
050030	OROVILLE HOSPITAL
050036	BAKERSFIELD MEMORIAL HOSPITAL
050038	SANTA CLARA VALLEY MEDICAL CENTER
050039	ENLOE MEDICAL CENTER
050040	LAC/OLIVE VIEW-UCLA MEDICAL CENTER
050042	ST ELIZABETH COMMUNITY HOSPITAL
050043	ALTA BATES SUMMIT MEDICAL CENTER
050045	EL CENTRO REGIONAL MEDICAL CENTER
050046	OJAI VALLEY COMMUNITY HOSPITAL
050047	CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
050054	SAN GORGONIO MEMORIAL HOSPITAL
050055	CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS
050056	ANTELOPE VALLEY HOSPITAL
050057	KAWEAH DELTA MEDICAL CENTER
050058	GLENDALE MEM HOSPITAL & HLTH CENTER
050060	COMMUNITY REGIONAL MEDICAL CENTER
050063	HOLLYWOOD PRESBYTERIAN MEDICAL CENTER
050067	OAK VALLEY DISTRICT HOSPITAL
050069	ST JOSEPH HOSPITAL
050070	KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO
050071	KAISER FOUNDATION HOSPITAL-SANTA CLARA
050072	KAISER FOUNDATION HOSPITAL - WALNUT CREEK
050073	KAISER FOUNDATION HOSPITAL AND REHAB CENTER
050075	KAISER FOUNDATION HOSPITAL OAKLAND/RICHMOND
050076	KAISER FOUNDATION HOSPITAL - SAN FRANCISCO
050077	SCRIPPS MERCY HOSPITAL
050078	PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO
050079	DOCTORS MEDICAL CENTER - SAN PABLO
050082	ST JOHNS REGIONAL MEDICAL CENTER
050084	ST JOSEPHS MEDICAL CENTER OF STOCKTON
050089	COMMUNITY HOSPITAL OF SAN BERNARDINO
050090	SONOMA VALLEY HOSPITAL
050091	COMMUNITY HOSPITAL OF HUNTINGTON PARK
050093	SAINT AGNES MEDICAL CENTER
050096	DOCTORS HOSPITAL OF WEST COVINA, INC
050099	SAN ANTONIO COMMUNITY HOSPITAL
050100	SHARP MEMORIAL HOSPITAL
050101	SUTTER SOLANO MEDICAL CENTER
050102	PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER
050103	WHITE MEMORIAL MEDICAL CENTER
050104	SAINT FRANCIS MEDICAL CENTER
050107	MARIAN REGIONAL MEDICAL CENTER
050108	SUTTER GENERAL HOSPITAL
050110	LOMPOC VALLEY MEDICAL CENTER
050111	TEMPLE COMMUNITY HOSPITAL
050112	SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL
050113	SAN MATEO MEDICAL CENTER
050115	PALOMAR HEALTH DOWNTOWN CAMPUS
050116	NORTHRIDGE HOSPITAL MEDICAL CENTER
050118	DOCTORS HOSPITAL OF MANTECA
050121	ADVENTIST MEDICAL CENTER
050122	DAMERON HOSPITAL
050124	USC VERDUGO HILLS HOSPITAL
050125	REGIONAL MEDICAL CENTER OF SAN JOSE
050126	VALLEY PRESBYTERIAN HOSPITAL
050127	WOODLAND MEMORIAL HOSPITAL
050128	TRI-CITY MEDICAL CENTER
050129	ST BERNARDINE MEDICAL CENTER
050131	NOVATO COMMUNITY HOSPITAL
050132	SAN GABRIEL VALLEY MEDICAL CENTER
050133	RIDEOUT MEMORIAL HOSPITAL
050135	SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD
050136	PETALUMA VALLEY HOSPITAL
050137	KAISER FOUNDATION HOSPITAL - PANORAMA CITY
050138	KAISER FOUNDATION HOSPITAL - LOS ANGELES
050139	KAISER FOUNDATION HOSPITAL - DOWNEY
050140	KAISER FOUNDATION HOSPITAL FONTANA
050145	COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA
050146	CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL
050149	CALIFORNIA HOSPITAL MEDICAL CENTER LA
050150	SIERRA NEVADA MEMORIAL HOSPITAL
050152	SAINT FRANCIS MEMORIAL HOSPITAL
050153	O'CONNOR HOSPITAL
050158	ENCINO HOSPITAL MEDICAL CENTER
050159	VENTURA COUNTY MEDICAL CENTER
050167	SAN JOAQUIN GENERAL HOSPITAL
050168	ST JUDE MEDICAL CENTER
050169	PRESBYTERIAN INTERCOMMUNITY HOSPITAL
050174	SANTA ROSA MEMORIAL HOSPITAL
050179	EMANUEL MEDICAL CENTER INC
050180	JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS
050189	GEORGE L MEE MEMORIAL HOSPITAL
050191	ST MARY MEDICAL CENTER
050192	ADVENTIST MEDICAL CENTER - REEDLEY
050194	WATSONVILLE COMMUNITY HOSPITAL
050195	WASHINGTON HOSPITAL
050196	CENTRAL VALLEY GENERAL HOSPITAL
050197	SEQUOIA HOSPITAL
050204	PALMDALE REGIONAL MEDICAL CENTER
050205	EAST VALLEY HOSPITAL MEDICAL CENTER
050211	ALAMEDA HOSPITAL
050222	SHARP CHULA VISTA MEDICAL CENTER
050224	HOAG MEMORIAL HOSPITAL PRESBYTERIAN
050225	FEATHER RIVER HOSPITAL
050226	AHMC ANAHEIM REGIONAL MEDICAL CENTER
050228	SAN FRANCISCO GENERAL HOSPITAL
050230	GARDEN GROVE HOSPITAL & MEDICAL CENTER
050231	POMONA VALLEY HOSPITAL MEDICAL CENTER
050232	FRENCH HOSPITAL MEDICAL CENTER
050234	SHARP CORONADO HOSPITAL AND HLTHCR CTR
050235	PROVIDENCE SAINT JOSEPH MEDICAL CTR
050236	SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES
050238	METHODIST HOSPITAL OF SOUTHERN CA
050239	GLENDALE ADVENTIST MEDICAL CENTER
050242	DOMINICAN HOSPITAL
050243	DESERT REGIONAL MEDICAL CENTER
050245	ARROWHEAD REGIONAL MEDICAL CENTER
050248	NATIVIDAD MEDICAL CENTER
050254	MARSHALL MEDICAL CENTER (1-RH)
050257	GOOD SAMARITAN HOSPITAL
05025F	FRESNO VA MEDICAL CENTER - VA CENTRAL CALIFORNIA
050261	SIERRA VIEW DISTRICT HOSPITAL
050262	RONALD REAGAN UCLA MEDICAL CENTER
050272	REDLANDS COMMUNITY HOSPITAL
050276	CONTRA COSTA REGIONAL MEDICAL CENTER
050277	PACIFIC HOSPITAL OF LONG BEACH
050278	PROVIDENCE HOLY CROSS MEDICAL CENTER
050279	HI-DESERT MEDICAL CENTER
05027F	VA LONG BEACH HEALTHCARE SYSTEM
050280	MERCY MEDICAL CENTER REDDING
050281	ALHAMBRA HOSPITAL MEDICAL CENTER
050283	VALLEYCARE MEDICAL CENTER
050289	SETON MEDICAL CENTER
050290	SAINT JOHN'S HEALTH CENTER
050291	SUTTER MEDICAL CENTER OF SANTA ROSA
050292	RIVERSIDE COUNTY REGIONAL MEDICAL CENTER
050295	MERCY HOSPITAL
050296	HAZEL HAWKINS MEMORIAL HOSPITAL
050298	BARSTOW COMMUNITY HOSPITAL
050300	ST MARY MEDICAL CENTER
050301	UKIAH VALLEY MEDICAL CENTER/HOSPITAL D
050305	ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP
050308	EL CAMINO HOSPITAL
050309	SUTTER ROSEVILLE MEDICAL CENTER
05030F	VA N CALIFORNIA HEALTHCARE SYSTEM
050313	SUTTER TRACY COMMUNITY HOSPITAL
050315	KERN MEDICAL CENTER
05031F	PALO ALTO VA MEDICAL CENTER
050320	ALAMEDA COUNTY MEDICAL CENTER
050324	SCRIPPS MEMORIAL HOSPITAL LA JOLLA
050327	LOMA LINDA UNIVERSITY MEDICAL CENTER
050329	CORONA REGIONAL MEDICAL CENTER
050334	SALINAS VALLEY MEMORIAL HOSPITAL
050335	SONORA REGIONAL MEDICAL CENTER
050336	LODI MEMORIAL HOSPITAL
050342	PIONEERS MEMORIAL HEALTHCARE DISTRICT
050348	UNIVERSITY OF CALIFORNIA IRVINE MED CENTER
050349	CORCORAN DISTRICT HOSPITAL
050350	BEVERLY HOSPITAL
050351	TORRANCE MEMORIAL MEDICAL CENTER
050352	BARTON MEMORIAL HOSPITAL
050353	PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE
050357	GOLETA VALLEY COTTAGE HOSPITAL
050359	TULARE REGIONAL MEDICAL CENTER
050360	MARIN GENERAL HOSPITAL
050367	NORTHBAY MEDICAL CENTER
050373	LAC+USC MEDICAL CENTER
050376	LAC/HARBOR-UCLA MED CENTER
050378	PACIFICA HOSPITAL OF THE VALLEY
050380	GOOD SAMARITAN HOSPITAL
050382	CITRUS VALLEY MEDICAL CENTER-IC CAMPUS
050385	PALM DRIVE HOSPITAL
050390	HEMET VALLEY MEDICAL CENTER
050393	DOWNEY REGIONAL MEDICAL CENTER
050394	COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA
050396	SANTA BARBARA COTTAGE HOSPITAL
050397	COALINGA REGIONAL MEDICAL CENTER
050407	CHINESE HOSPITAL
050411	KAISER FOUNDATION HOSPITAL - SOUTH BAY
050414	MERCY HOSPITAL OF FOLSOM
050417	SUTTER COAST HOSPITAL
050423	PALO VERDE HOSPITAL
050424	SCRIPPS GREEN HOSPITAL
050425	KAISER FOUNDATION HOSPITAL - SACRAMENTO
050426	WEST ANAHEIM MEDICAL CENTER
050434	COLUSA REGIONAL MEDICAL CENTER
050435	FALLBROOK HOSPITAL
050438	HUNTINGTON MEMORIAL HOSPITAL
050441	STANFORD HOSPITAL
050444	MERCY MEDICAL CENTER
050454	UCSF MEDICAL CENTER
050455	SAN JOAQUIN COMMUNITY HOSPITAL
050457	ST MARY'S MEDICAL CENTER
050464	DOCTORS MEDICAL CENTER
050468	MEMORIAL HOSPITAL OF GARDENA
050471	GOOD SAMARITAN HOSPITAL
050481	WEST HILLS HOSPITAL & MEDICAL CENTER
050485	LONG BEACH MEMORIAL MEDICAL CENTER
050488	EDEN MEDICAL CENTER
050492	CLOVIS COMMUNITY MEDICAL CENTER
050496	JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS
050498	SUTTER AUBURN FAITH HOSPITAL
050502	SAINT VINCENT MEDICAL CENTER
050503	SCRIPPS MEMORIAL HOSPITAL - ENCINITAS
050506	SIERRA VISTA REGIONAL MEDICAL CENTER
050510	KAISER FOUNDATION HOSPITAL
050512	KAISER FOUNDATION HOSPITAL FREMONT/HAYWARD
050515	KAISER FOUNDATION HOSPITAL - SAN DIEGO
050516	MERCY SAN JUAN MEDICAL CENTER
050517	VICTOR VALLEY GLOBAL MEDICAL CENTER
050523	SUTTER DELTA MEDICAL CENTER
050526	HUNTINGTON BEACH HOSPITAL
050528	MEMORIAL HOSPITAL LOS BANOS
050534	JOHN F KENNEDY MEMORIAL HOSPITAL, INC
050537	SUTTER DAVIS HOSPITAL
050541	KAISER FOUNDATION HOSPITAL - REDWOOD CITY
050543	COLLEGE HOSPITAL COSTA MESA
050547	SONOMA DEVELOPMENTAL CENTER
050549	LOS ROBLES HOSPITAL & MEDICAL CENTER
050551	LOS ALAMITOS MEDICAL CENTER
050552	MOTION PICTURE & TELEVISION HOSPITAL
050557	MEMORIAL  MEDICAL CENTER
050561	KAISER FOUNDATION HOSPITAL - WEST LA
050567	MISSION HOSPITAL REGIONAL MED CENTER
050568	MADERA COMMUNITY HOSPITAL
050570	FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER
050573	EISENHOWER MEDICAL CENTER
050575	TRI-CITY REGIONAL MEDICAL CENTER
050580	LA PALMA INTERCOMMUNITY HOSPITAL
050581	LAKEWOOD REGIONAL MEDICAL CENTER
050586	CHINO VALLEY MEDICAL CENTER
050588	SAN DIMAS COMMUNITY HOSPITAL
050589	PLACENTIA LINDA HOSPITAL
050590	METHODIST HOSPITAL OF SACRAMENTO
050597	FOOTHILL PRESBYTERIAN HOSPITAL
050599	UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER
050603	SADDLEBACK MEMORIAL MEDICAL CENTER
050604	KAISER FOUNDATION HOSPITAL-SAN JOSE
050608	DELANO REGIONAL MEDICAL CENTER
050609	KAISER FOUNDATION HOSPITAL- ORANGE COUNTY- ANAHEIM
050616	ST JOHNS PLEASANT VALLEY HOSPITAL
050618	BEAR VALLEY COMMUNITY HOSPITAL
050624	HENRY MAYO NEWHALL MEMORIAL HOSPITAL
050625	CEDARS-SINAI MEDICAL CENTER
050633	TWIN CITIES COMMUNITY HOSPITAL
050636	POMERADO HOSPITAL
050641	EAST LOS ANGELES DOCTORS HOSPITAL
050660	USC KENNETH NORRIS JR CANCER HOSPITAL
050663	LOS ANGELES COMMUNITY HOSPITAL
050668	LAGUNA HONDA HOSPITAL & REHABILITATION CENTER
050674	KAISER FOUNDATION HOSP SO SACRAMENTO
050677	KAISER FOUNDATION HOSPITAL - WOODLAND HILLS
050678	ORANGE COAST MEMORIAL MEDICAL CENTER
050684	MENIFEE VALLEY MEDICAL CENTER
050686	KAISER FOUNDATION HOSPITAL, RIVERSIDE
050688	SAINT LOUISE REGIONAL HOSPITAL
050689	SAN RAMON REGIONAL MEDICAL CTR
050690	KAISER FOUNDATION HOSPITAL-SANTA ROSA
050696	KECK HOSPITAL OF USC
050697	PATIENTS' HOSPITAL OF REDDING
050701	SOUTHWEST HEALTHCARE SYSTEM
050704	MISSION COMMUNITY HOSPITAL - PANORAMA
050708	FRESNO SURGICAL HOSPITAL
050709	DESERT VALLEY HOSPITAL
050710	KAISER FOUNDATION HOSPITAL - FRESNO
050714	SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ
050717	LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR
050723	KAISER FOUNDATION HOSPITAL - BALDWIN PARK
